<DOC1004>	车门很溥，关门声音不如帝豪718好听。</DOC1004>

<DOC1007>	车的隔音比我以前开的老广本2.3的还要好一点。</DOC1007>

<DOC1017>	2003-09-2222:10:55新浪网友发表评论　IP:219.153.137,大众途安MPV预计11月下线比马自大MPV大一些样子更漂亮基本型价格17万左右配置很好！！！</DOC1017>

<DOC1025>	领域的刹车偏软，迈腾的刹车算不错了，但和318i比仍偏软。</DOC1025>

<DOC1030>	客观的说，过去夏利绝对比吉利稳定、可靠、耐用，将来孰好孰坏，很难说了。</DOC1030>

<DOC1038>	音响比德系车好。</DOC1038>

<DOC1040>	总体感觉:外型:大气,流线型,动感十足；空间挺大的，我这180的大个子还是满自在的，特别是后排空间比老宝来大多了。</DOC1040>

<DOC1041>	听销售员介绍了爱腾和柯兰多，觉得同样2.0的发动机，柯兰多在动力上明显优越很多，而且还是电子风扇，声音小，爱腾的声音家里人还是不能接受。</DOC1041>

<DOC1049>	前几天试驾了瑞风的柴油车感觉：1噪音比汽油发动机的车要大。</DOC1049>

<DOC1058>	（由此我对中华也开始表示怀疑，一样的三菱发动机）4、性价比：相同配置的情况下，瑞风要比风行贵一到二万，且风行还多天窗。</DOC1058>

<DOC1059>	逍客同轩逸一样，其发动机都采用了曲轴偏置技术。</DOC1059>

<DOC1065>	（外观和国产的一样）跑了9万多点。</DOC1065>

<DOC1075>	福美来通过频繁的调价，而不加强售后服务、降低配件价格，最终将落得连老款竭达都不如，品牌的信誉将一扫而光。</DOC1075>

<DOC1081>	他买的是11，78万元的捷达，从各方面不如伊兰特！</DOC1081>

<DOC1086>	只是120迈的基础上刹车似乎没有那么凌厉，xjw比mt好像要好一点点，没有怎么多开，这一次机会可能体会也不是很深刻。</DOC1086>

<DOC1087>	旁边的别克凯越和荣威750,都比我的小明坚硬。</DOC1087>

<DOC1095>	98的型号肯定是性价比最高的，但那桃木确实太难看了，阳春则阳春，巴人则巴人，阳春做成巴人样，那和小芹她妈的脸有什么区别？</DOC1095>

<DOC1097>	3、价格相当于三箱夏利，稍贵。</DOC1097>

<DOC1099>	警惕日寇与汉奸勾结对中国的经济侵略大家已经看到有关世界汽车方面的报道，丰田、本田等公司汽车销量略低于通用、大众等公司，但其利润却高于通用、大众等公司近十倍，达100多亿。</DOC1099>

<DOC1110>	兄弟,13.6的不是新中华,新中华比03的好很多,很多,你买了用了么?</DOC1110>

<DOC1111>	使者的前脸造型舒服，比起星星来没那麽生硬。</DOC1111>

<DOC1114>	安全、操控性不见得比富康、嘉年华好！</DOC1114>

<DOC1123>	据说,帕萨特1.8T110kw是德国标准(等于美国标准的125kw)>雅阁的12.4的160马力!</DOC1123>

<DOC1129>	不如大众车漆面硬。</DOC1129>

<DOC1132>	外型好，尤其是大灯，完全能和宝马的大灯相比。</DOC1132>

<DOC1146>	配置不实用《青年时讯》：豪华型ＧＬＸ－ｉ电子导航版则增加了一套ＤＶＤ语音电子导航系统，这套系统的核心与曾经装配在威驰上那一款是一样的，不过可使用范围包括了成都、北京、上海、重庆在内的国内３９个城市，大有长进。</DOC1146>

<DOC1156>	因为,君威的舒适性远远超过M6.</DOC1156>

<DOC1167>	内饰强过老夏数倍有余。</DOC1167>

<DOC1170>	是因为它配置不如东方之子，但价钱比东方之子高！</DOC1170>

<DOC1175>	现在新出的车子的质量比不上旧款的了。</DOC1175>

<DOC1182>	本田两厢飞度1.3手动档国外售价4000美元约合人民币33960元国内售价8.88万元马自达6北美售价1.87万美元约合人民币15.45万元国内售价19.98万元，m6利润空间比本田小多了，价格实际点，马自达6引进时是一款世界同步车型，配置相对较好，定价借鉴于国内中高档轿车的价格水平，所以价格也高于国际平均水平。</DOC1182>

